Company, Designation, Address, Salary, Ratings 
Medinovix, Software Engineer (Fresher), India, Not Mention, NAN
ITLPro Solutions, Fresher Engineer, Pune - Maharashtra, Not Mention, NAN
Olive Technology, Software Engineer, Pune - Maharashtra, ₹40 -000 - ₹57 -000 a month, 4.4
Nanu India, Hiring For Admin/Management/Medical/Finance/Engineer Fresher, Udaipur - Rajasthan, Not Mention, NAN
Kaizen IT Services Pvt Ltd, Computer Hardware Engineer, Pune - Maharashtra, ₹10 -000 - ₹12 -500 a year, 3.7
Hungama Jobs, Service Engineer, Narsimhapur - Madhya Pradesh, Not Mention, NAN
Niflr Technologies Private Limited, Computer Vision Internship, Bengaluru - Karnataka, Not Mention, NAN
Ninos IT Solution, SOFTWARE ENGINEER - FRESHER, India, Not Mention, NAN
Softcore Infotech, + Computer Hardware Networking Engineer, New Delhi - Delhi, Not Mention, NAN
Nexus Automations, Hardware & Networking Engineer, Mumbai - Maharashtra, Not Mention, NAN
CrossAsyst, QA Engineer (Fresher/Entry Level), Mumbai - Maharashtra, Not Mention, NAN
Comorin Consulting Services India Pvt Ltd, Software Engineer - Fresher, Vadaserry - Tamil Nadu, Not Mention, NAN
CloudTara Technologies Pvt Ltd, Software Engineer, Bengaluru - Karnataka, Not Mention, NAN
Nanu India, Fresher Engineer Btech/BE/Diploma Any Stream, Salem - Tamil Nadu, Not Mention, NAN
Flair Minds, Trainee Engineer (software Developer Fresher), Baner - Pune - Maharashtra, Not Mention, NAN
Nanu India, Fresher Junior Engineer (Construction), Ahmedabad - Gujarat, Not Mention, NAN
WeSucceed Solutions, Software Developer - Fresher, Bengaluru - Karnataka, Not Mention, NAN
Indus OS, QA Test Engineer-Fresher, Mumbai - Maharashtra, Not Mention, NAN
OnceHub, QA Engineer, Gurgaon - Haryana, Not Mention, NAN
Cadworks India pvt Ltd, CAD Design Engineer Fresher, Noida - Uttar Pradesh, Not Mention, NAN
BHARAT ELECTRICAL CONTRACTORS & MANUFACTURERS, Billing Engineer, Maharashtra, Not Mention, NAN
Yatnam, Software Engineer (Fresher), Kochi - Kerala, Not Mention, NAN
Nanu India, Fresher Hardware & Networking Engineer- Apply Now, Tiruchchirappalli - Tamil Nadu, Not Mention, NAN
AINE AI Info Tech Pvt Ltd, Software Engineer (Software Developer), Remote, Not Mention, NAN
Vegas Consulting, QMS Engineer, Coimbatore - Tamil Nadu, Not Mention, NAN
Technousa, Hardware and Network Engineer, Delhi - Delhi, Not Mention, NAN
IODevOps Services Incorporated, Power Electronics Engineering Internship, Hyderabad - Telangana, Not Mention, NAN
Vorrowtech, Trainee Software Engineers [Fresher], Lucknow - Uttar Pradesh, Not Mention, NAN
Big Vision LLC, Computer Vision Internship, Bengaluru - Karnataka, Not Mention, NAN
NIJ LTD., Desktop Support Engineer Freshers Apply Now, Gurgaon - Haryana, Not Mention, NAN
NUVENTO SYSTEMS P LTD, Junior Software Engineer, Kochi - Kerala, Not Mention, NAN
COFA Studio - Multimedia Agency, Office Admin Assistant, Nashik - Maharashtra, Not Mention, NAN
AaptTeknoUS, Desktop Engineer, Goregaon - Mumbai - Maharashtra, Not Mention, NAN
NIJ LTD., Junior Engineer B. Tech/BE/Diploma Freshers Apply Now, Pathankot - Punjab, Not Mention, NAN
XL Dynamics India, Application Support Engineer, Navi Mumbai - Maharashtra, ₹3 -00 -000 - ₹6 -00 -000 a year, 2.8
Whatfix, Front End Solutions Engineer ( Freshers ), Bengaluru - Karnataka, Not Mention, NAN
Skizzle Labs Private Limited, Graduate Engineer Trainee, Kochi - Kerala, Not Mention, NAN
Karan IT Solutions, Technical Engineer - Computer Hardware Engineer - Support Engi..., Bengaluru - Karnataka, Not Mention, NAN
Appquarterz, Software Test Engineer, Faridabad - Haryana, Not Mention, NAN
NIJ LTD., Apply Now Biomedical & Science Graduate Freshers, Belgaum - Karnataka, Not Mention, NAN
VM3 Tech Solutions, Network Engineer, Pune - Maharashtra, Not Mention, NAN
Elpis Systems, Software Engineer –Trainee / Fresher, Bengaluru - Karnataka, Not Mention, NAN
Magnon India, Interior Design part time job/internship at Bangalore, Bengaluru - Karnataka, Not Mention, NAN
Nanu India, EPC Engineering jobs - Site Fabrication Engineer, Surat - Gujarat, Not Mention, NAN
Veena World, Junior Software Test Engineer, Mumbai - Maharashtra, Not Mention, NAN
Allerin Tech Private Limited, Trainee Test Engineer - Freshers welcome, Navi Mumbai - Maharashtra, Not Mention, NAN
Lincoln Tech, Software Engineer (Fresher), Hyderabad - Telangana, Not Mention, NAN
mycityrajkot, Trainee Engineer - Production, Rajkot - Gujarat, Not Mention, NAN
RB Infosystems, Junior Software Engineer, Faridabad - Haryana, Not Mention, NAN
Crashmeal, IT Automation Testing Specialist - Fresher, Hyderabad - Telangana, Not Mention, NAN
GREENE DIESELS AND ENGINEERS, Computer Assistant, Ernakulam - Kerala, Not Mention, NAN
Indiafirstrobotics, Drone/UAV Engineer, Pune - Maharashtra, Not Mention, NAN
Yesventive IT Labs Pvt Ltd, IT Software Tester (QA) - Fresher | Male, Noida - Uttar Pradesh, Not Mention, NAN
Nanu India, Opening For Desktop Support Engineer, Visakhapatnam - Andhra Pradesh, Not Mention, NAN
Nanu India, Hiring Jr Technical Engineers | On Roll, Hyderabad - Telangana, Not Mention, NAN
Nanu India, Be(Electronics Communication Engineering) Fresher/Experience..., Chennai - Tamil Nadu, Not Mention, NAN
Brick.co.in, Fresher Engineer 20 Passout Any Stream, Noida - Uttar Pradesh, Not Mention, NAN
Kaizen Estimating Services, Jr Estimator, Pune - Maharashtra, Not Mention, NAN
DXC, Technical Support Engineer - IT Help desk, Bengaluru - Karnataka, Not Mention, NAN
All Wave AV Systems Pvt Ltd, Design Engineer, Mumbai - Maharashtra, Not Mention, NAN
Magnitude, Associate Software Engineer, Surat - Gujarat, Not Mention, NAN
Addteq, Entry Level - Linux, Pune - Maharashtra, Not Mention, NAN
NIJ LTD., Diploma Holders Freshers- Apply Now, India, Not Mention, NAN
Knowledge Sprint Technologies, DevOps Engineer - Jenkins, Hyderabad - Telangana, Not Mention, NAN
vaibhav tech solutions, Sales Engineer, Pune - Maharashtra, Not Mention, NAN
Institutional Shareholder Services Inc, Quality Assurance Engineer, Mumbai - Maharashtra, Not Mention, NAN
Brick.co.in, Fresher Assistance Engineer 19/20 Passout, Delhi - Delhi, Not Mention, NAN
Just Tech Solutions, Hardware Engineer, Mumbai - Maharashtra, Not Mention, NAN
Sujata Computers, Desktop & Networking Support Engineer, Pune - Maharashtra, Not Mention, NAN
eTeam Infoservices Pvt. Ltd., Tech support Engineer-International Voice Process(Fresher to..., Bengaluru - Karnataka, ₹24 -300 a month, 3.8
Lorem Figulas, Engineer Trainee, Noida - Uttar Pradesh, Not Mention, NAN
Pactera Technologies India Private Limited, Opening for 2018-2019-2020 Freshers :: Junior Data Service E..., Hyderabad - Telangana, Not Mention, NAN
Ride Softech Solutions, Associate Software Engineer, Chinchwad - Pune - Maharashtra, Not Mention, NAN
Buybackmart, Hardware Engineer, Mumbai - Maharashtra, Not Mention, NAN
eLayers, QA Engineer, Ahmedabad - Gujarat, Not Mention, NAN
GREENLEAP ROBOTICS PVT. LTD., Electronics Technician, Sonipat - Haryana, Not Mention, NAN
Nanu India, Fresher Btech/Be/Diploma Assistance Engineer, Bengaluru - Karnataka, Not Mention, NAN
Saasapp Software, Support Engineer, Mohali - Punjab, Not Mention, NAN
New Global Technologies, Technical Engineer - Computer Hardware Engineer - Support Engi..., Ahmedabad - Gujarat, Not Mention, NAN
sisnolabs, Software Trainee / Internship Jobs, Nagpur - Maharashtra, Not Mention, NAN
KAT-i Research, Web Research - Telephone Research Associate / Executives, Salt Lake City - West Bengal, Not Mention, NAN
Digiswitch Infotech Private Limited, Information Technology Internship, Patna - Bihar, Not Mention, NAN
Unified Cloud, Software Development Engineer – Freshers, Noida - Uttar Pradesh, Not Mention, NAN
